id,access_id,first_name,last_name,full_name,preferred_name,birth_name,gender,identifier,identifier_type,email,login_email,birthday_on,nationality,address_line_1,address_line_2,postal_code,city,state,country,bank_number,swift_bic,bank_number_format,company_id,legal_entity_id,location_id,created_at,updated_at,social_security_number,is_terminating,terminated_on,termination_reason_type,termination_reason,termination_observations,manager_id,timeoff_manager_id,phone_number,company_identifier,age_number,termination_type_description,contact_name,contact_number,personal_email,seniority_calculation_date,pronouns,active,disability_percentage_cents,identifier_expiration_date,attendable,country_of_birth,birthplace
1785128,1786205,Maria,Lopez,Maria Lopez,,,female,,,maria.lopez@demo520f36d5.com,maria.lopez@demo520f36d5.com,2001-01-23,es,,,,,,,,,,55229,122547,184472,2026-01-23T14:48:29.000Z,2026-01-23T14:49:53.000Z,257057464855,False,,,,,1784469.0,1784469.0,612839471,,25,,,,,,,True,0,,True,,
1785123,1786200,Kwame ,Mensah,Kwame  Mensah,,,male,,,adan.garcia@demo520f36d5.com,adan.garcia@demo520f36d5.com,2001-01-23,gh,,,,,,,,,,55229,122547,184472,2026-01-23T14:48:27.000Z,2026-02-02T13:33:05.000Z,361747692553,False,,,,,1784469.0,1784469.0,613273630,,25,,,,,,,True,0,,True,,
1784613,1785692,Scott,Santos,Scott Santos,,,male,13900692K,dni,scott.santos@demo520f36d5.com,scott.santos@demo520f36d5.com,1982-03-20,es,"Carrer d'Aragó, 302",4ª,8009,Barcelona,Barcelona,es,ES33 3686 6203 1715 4150 7324,,iban,55229,122547,184472,2024-09-18T00:00:00.000Z,2026-01-24T00:00:40.000Z,083563318914,True,2025-11-23,,,,1784516.0,1784516.0,612804790,EM-1785692,43,,,,,,,False,0,,True,,
1784609,1785688,Samuel,Sánchez,Samuel Sánchez,,,male,77930589B,dni,samuel.sanchez@demo520f36d5.com,samuel.sanchez@demo520f36d5.com,1991-12-20,es,"Carrer de Colón, 25",,46004,Valencia,Valencia,es,ES75 0733 9742 7732 7265 2953,,iban,55229,122555,184484,2025-07-20T00:00:00.000Z,2026-01-23T14:29:57.000Z,,False,,,,,1784598.0,1784598.0,617286418,EM-1785688,34,,,,,,,True,0,,True,,
1784605,1785683,Estefanía,Escobar,Estefanía Escobar,,,female,83815028S,dni,estefania.escobar@demo520f36d5.com,estefania.escobar@demo520f36d5.com,1997-04-16,es,"Carrer de Colón, 25",,46004,Valencia,Valencia,es,ES09 8147 3784 8535 8022 8458,,iban,55229,122555,184484,2025-07-18T00:00:00.000Z,2026-01-24T00:00:40.000Z,,True,2025-11-23,,,,1784598.0,1784598.0,618606730,EM-1785683,28,Inactividad fijos discontinuos,,,,,,False,0,,True,,
1784598,1785675,Susana,Stanley,Susana Stanley,,,female,79680444A,dni,susana.stanley@demo520f36d5.com,susana.stanley@demo520f36d5.com,1990-02-27,es,"Avenida de Francia, 10",,46023,Valencia,Valencia,es,ES17 8008 6838 3054 1694 8670,,iban,55229,122555,184484,2025-07-14T00:00:00.000Z,2026-01-23T14:29:57.000Z,,False,,,,,1784516.0,1784516.0,615758800,EM-1785675,35,,,,,,,True,0,,True,,
1784590,1785667,Noé,Navarro,Noé Navarro,,,male,38099344M,dni,noe.navarro@demo520f36d5.com,noe.navarro@demo520f36d5.com,2002-06-09,es,"Carrer de Casanova, 155",,8036,Barcelona,Barcelona,es,ES27 5852 0994 0833 1219 9281,,iban,55229,122547,184482,2025-06-15T00:00:00.000Z,2026-01-23T14:48:12.000Z,367119407356,False,,,,,1784567.0,1784567.0,612854216,EM-1785667,23,,,,,,,True,0,,True,,
1784581,1785658,Nora,Nieto,Nora Nieto,,,female,71799050L,dni,nora.nieto@demo520f36d5.com,nora.nieto@demo520f36d5.com,2001-01-19,es,"Passeig de Gràcia, 92",1º,8008,Barcelona,Barcelona,es,ES77 6312 5649 9250 6264 8747,,iban,55229,122547,184482,2024-11-13T00:00:00.000Z,2026-01-23T14:48:11.000Z,398374533754,False,,,,,1784567.0,1784567.0,617695970,EM-1785658,25,,,,,,,True,0,,True,,
1784573,1785653,Natalia,Navarro,Natalia Navarro,,,female,82816892X,dni,natalia.navarro@demo520f36d5.com,natalia.navarro@demo520f36d5.com,1994-11-17,es,"Plaça de Catalunya, 1",,8002,Barcelona,Barcelona,es,ES10 4762 3733 9535 6587 8245,,iban,55229,122547,184482,2024-11-04T00:00:00.000Z,2026-01-23T14:31:01.000Z,160248239927,False,,,,,1784567.0,1784567.0,612620217,EM-1785653,31,,,,,,,True,0,,True,,
1784567,1785645,Nicolás,Núñez,Nicolás Núñez,,,male,68747765Y,dni,nicolas.nunez@demo520f36d5.com,nicolas.nunez@demo520f36d5.com,1998-01-30,es,"Plaza del Ayuntamiento, 3",,46002,Valencia,Valencia,es,ES22 6323 8109 5789 6562 2306,,iban,55229,122555,184484,2024-11-20T00:00:00.000Z,2026-01-23T14:29:57.000Z,,False,,,,,1784516.0,1784516.0,616760867,EM-1785645,28,,,,,,,True,0,,True,,
