id,access_id,first_name,last_name,full_name,preferred_name,birth_name,gender,identifier,identifier_type,email,login_email,birthday_on,nationality,address_line_1,address_line_2,postal_code,city,state,country,bank_number,swift_bic,bank_number_format,company_id,legal_entity_id,location_id,default_work_area_id,created_at,updated_at,social_security_number,is_terminating,terminated_on,termination_reason_type,termination_reason,termination_observations,manager_id,timeoff_manager_id,phone_number,company_identifier,age_number,termination_type_description,contact_name,contact_number,personal_email,seniority_calculation_date,communications_email,unconfirmed_communications_email,pronouns,active,disability_percentage_cents,identifier_expiration_date,attendable,country_of_birth,birthplace
6376910,6843243,Maria,Lopez,Maria Lopez,,,female,,,maria.lopez@demofaa412b4.com,maria.lopez@demofaa412b4.com,2001-09-11,us,,,,,,,,,,191864,420653,663827,,2026-09-11T16:20:42.000Z,2026-09-11T19:59:43.000Z,,False,,,,,6376003,6376003,617427585,,25,,,,,,,,,True,0,,True,,
6376909,6843242,Adan,Garcia,Adan Garcia,,,male,,,adan.garcia@demofaa412b4.com,adan.garcia@demofaa412b4.com,2001-09-11,us,,,,,,,,,,191864,420653,663827,,2026-09-11T16:20:41.000Z,2026-09-11T19:59:43.000Z,,False,,,,,6376003,6376003,617632679,,25,,,,,,,,,True,0,,True,,
6376602,6842923,Nadia,Backfield,Nadia Backfield,,,,,,nadia.backfield.d6c11e1f@demofaa412b4.com,nadia.backfield.d6c11e1f@demofaa412b4.com,2000-09-11,,,,,,,,,,,191864,420653,663840,1591521,2026-09-11T16:08:38.000Z,2026-09-11T19:59:43.000Z,,False,,,,,6375934,6375934,,,26,,,,,2026-09-11,,,,True,0,,True,,
6376282,6842556,Tessa,Todd,Tessa Todd,,,female,,,tessa.todd@demofaa412b4.com,tessa.todd@demofaa412b4.com,2003-03-02,us,1 Market St,,94105,San Francisco,California,us,,,,191864,420660,663839,1591517,2024-07-28T00:00:00.000Z,2026-09-11T16:12:05.000Z,,True,2026-06-15,employee,Voluntary resignation to return to full-time study,Reliable on the shop floor and quick to cover shifts. Resigned to return to full-time study; notice served in full.,6376137,6376137,618606059,EM-6842556,23,Baja voluntaria/Dimisión,,,,,,,,False,0,,True,,
6376279,6842553,Owen,Oakley,Owen Oakley,,,male,,,owen.oakley@demofaa412b4.com,owen.oakley@demofaa412b4.com,2000-08-08,us,1355 Market St,,94103,San Francisco,California,us,,,,191864,420660,663838,1591514,2024-11-06T00:00:00.000Z,2026-09-11T16:20:39.000Z,,True,2026-07-18,company,Dismissed for repeated breaches of the store conduct rules,"Two written warnings for repeated breaches of the store conduct rules, the second after a cash handling incident. Dismissed without notice.",6376137,6376137,612272020,EM-6842553,26,Despido disciplinario,,,,,,,,False,0,,True,,
6376275,6842549,Ivan,Ingram,Ivan Ingram,,,male,,,ivan.ingram@demofaa412b4.com,ivan.ingram@demofaa412b4.com,1984-12-13,us,1000 5th Ave,,10028,New York,New York,us,,,,191864,420653,663827,1591565,2024-05-19T00:00:00.000Z,2026-09-11T16:20:39.000Z,,True,2026-04-29,company,Role withdrawn after the shift pattern was redesigned,"Steady but never above expectations, and the role disappeared when the North Shop shift pattern was redesigned. Notice served in full.",6376106,6376106,613330327,EM-6842549,41,,,,,,,,,False,0,,True,,
6376271,6842545,Edward,Ellis,Edward Ellis,,,male,,,edward.ellis@demofaa412b4.com,edward.ellis@demofaa412b4.com,1990-09-05,us,1 Liberty Plaza,,10006,New York,New York,us,,,,191864,420653,663860,1591596,2024-09-30T00:00:00.000Z,2026-09-11T16:20:38.000Z,,True,2026-05-24,company,Dismissed after repeatedly missing agreed targets,"Below the agreed targets in every review cycle worked, with no progress after two coaching rounds. Fifteen days of notice were not served by the company.",6376106,6376106,612180301,EM-6842545,36,,,,,,,,,False,0,,True,,
6376266,6842541,Elena,Egan,Elena Egan,,,female,,,elena.egan@demofaa412b4.com,elena.egan@demofaa412b4.com,1996-06-19,us,55 Music Concourse Dr,,94118,San Francisco,California,us,,,,191864,420660,663840,1591520,2023-11-03T00:00:00.000Z,2026-09-11T16:20:38.000Z,,True,2026-06-28,employee,Voluntary resignation after relocating with family,Consistently one of the strongest of the South Shop crew. Resigned after relocating with family; notice served in full and rehire recommended.,6376137,6376137,614324618,EM-6842541,30,Renuncia voluntaria,,,,,,,,False,0,,True,,
6376262,6842536,Marla,Mercer,Marla Mercer,,,female,,,marla.mercer@demofaa412b4.com,marla.mercer@demofaa412b4.com,1993-04-26,us,200 Central Park West,,10024,New York,New York,us,,,,191864,420653,663839,1591516,2023-01-25T00:00:00.000Z,2026-09-11T16:20:38.000Z,,False,,,,,6376087,6376087,614011093,EM-6842536,33,,,,,,,,,True,0,,True,,
6376261,6842535,Preston,Pike,Preston Pike,,,male,,,preston.pike@demofaa412b4.com,preston.pike@demofaa412b4.com,1997-01-11,us,11 Wall St,1º,10005,New York,New York,us,,,,191864,420653,663838,1591513,2024-03-08T00:00:00.000Z,2026-09-11T15:22:50.000Z,,False,,,,,6376106,6376106,616821832,EM-6842535,29,,,,,,,,,True,0,,True,,
6376256,6842530,Sonia,Sharpe,Sonia Sharpe,,,female,,,sonia.sharpe@demofaa412b4.com,sonia.sharpe@demofaa412b4.com,2001-05-30,us,1 Market St,,94105,San Francisco,California,us,,,,191864,420660,663827,1591564,2025-03-25T00:00:00.000Z,2026-09-11T16:20:37.000Z,,True,2026-06-18,employee,Voluntary resignation while on a performance improvement plan,"Resigned while the improvement plan agreed with the store manager was still open. Ten days short of the contractual notice period, discounted in the final settlement.",6376137,6376137,613315601,EM-6842530,25,Baja voluntaria/Dimisión,,,,,,,,False,0,,True,,
6376252,6842525,Silas,Sutton,Silas Sutton,,,male,,,silas.sutton@demofaa412b4.com,silas.sutton@demofaa412b4.com,1987-10-02,us,1355 Market St,,94103,San Francisco,California,us,,,,191864,420660,663860,1591596,2023-05-02T00:00:00.000Z,2026-09-11T16:20:37.000Z,,True,2026-07-03,employee,Voluntary resignation to join a competitor,Top performer who resigned for a larger role at a competitor. Notice served in full and a counter offer was declined.,6376137,6376137,619787389,EM-6842525,38,Renuncia voluntaria,,,,,,,,False,0,,True,,
6376247,6842520,Sabrina,Sawyer,Sabrina Sawyer,,,female,,,sabrina.sawyer@demofaa412b4.com,sabrina.sawyer@demofaa412b4.com,1995-03-14,us,55 Music Concourse Dr,,94118,San Francisco,California,us,,,,191864,420660,663840,1591519,2024-07-20T00:00:00.000Z,2026-09-11T16:20:37.000Z,,True,2026-07-28,company,Dismissed after a sharp decline in performance,"Solid reviews until last year, then a sharp decline in sales and reliability confirmed by the latest cycle. Seven days of notice were not served by the company.",6376137,6376137,611881500,EM-6842520,31,Despido disciplinario,,,,,,,,False,0,,True,,
6376243,6842518,Nina,Nash,Nina Nash,,,female,,,nina.nash@demofaa412b4.com,nina.nash@demofaa412b4.com,1999-07-23,us,10 Columbus Circle,,10019,New York,New York,us,,,,191864,420653,663839,1591518,2024-11-05T00:00:00.000Z,2026-09-11T16:20:36.000Z,,True,2026-08-02,company,Dismissed after sustained underperformance,Two consecutive review cycles below expectations and an improvement plan closed without progress. Notice served in full.,6376106,6376106,618696559,EM-6842518,27,,,,,,,,,False,0,,True,,
6376241,6842513,Nolan,Norris,Nolan Norris,,,male,,,nolan.norris@demofaa412b4.com,nolan.norris@demofaa412b4.com,1992-02-09,us,30 Rockefeller Plaza,4ª,10112,New York,New York,us,,,,191864,420653,663838,1591515,2024-01-30T00:00:00.000Z,2026-09-11T16:12:00.000Z,,True,2026-08-17,company,Role eliminated by the store network consolidation,Strong performer whose position disappeared when the North Shop team was merged into a single store crew. Notice served in full and outplacement support offered.,6376106,6376106,613381114,EM-6842513,34,,,,,,,,,False,0,,True,,
6376239,6842511,Jessica,Rivera,Jessica Rivera,,,female,,,jessica.rivera@demofaa412b4.com,jessica.rivera@demofaa412b4.com,1993-07-07,us,11 Wall St,1º,10005,New York,New York,us,,,,191864,420653,663827,1591566,2026-06-16T00:00:00.000Z,2026-09-11T15:22:50.000Z,,False,,,,,6375925,6375925,617409103,EM-6842511,33,,,,,,,,,True,0,,True,,
6376234,6842506,David,Thompson,David Thompson,,,male,,,david.thompson@demofaa412b4.com,david.thompson@demofaa412b4.com,1994-01-19,us,"350 5th Ave, 59th Floor",,10118,New York,New York,us,,,,191864,420653,663860,1591596,2026-08-14T00:00:00.000Z,2026-09-11T16:20:36.000Z,,False,,,,,6375925,6375925,614736057,EM-6842506,32,,,,,,,,,True,0,,True,,
6376230,6842502,Ashley,Nguyen,Ashley Nguyen,,,female,,,ashley.nguyen@demofaa412b4.com,ashley.nguyen@demofaa412b4.com,1998-09-02,us,30 Rockefeller Plaza,4ª,10112,New York,New York,us,,,,191864,420660,663840,1591595,2026-09-09T00:00:00.000Z,2026-09-11T16:20:35.000Z,,False,,,,,6376106,6376106,611305150,EM-6842502,28,,,,,,,,,True,0,,True,,
6376224,6842497,Michael,Carter,Michael Carter,,,male,,,michael.carter@demofaa412b4.com,michael.carter@demofaa412b4.com,1991-04-14,us,"350 5th Ave, 59th Floor",,10118,New York,New York,us,,,,191864,420653,663839,1591517,2026-09-16T00:00:00.000Z,2026-09-11T16:20:35.000Z,,False,,,,,6376075,6376075,613527658,EM-6842497,35,,,,,,,,,True,0,,True,,
6376221,6842493,Scott,Spencer,Scott Spencer,,,male,,,scott.spencer@demofaa412b4.com,scott.spencer@demofaa412b4.com,1969-03-20,us,1 Liberty Plaza,,10006,New York,New York,us,,,,191864,420653,663838,1591514,2022-09-06T00:00:00.000Z,2026-09-11T16:20:35.000Z,,True,2026-07-13,employee,Voluntary resignation for a new career opportunity,"Resigned to join another company. Left five days short of the contractual notice period, discounted in the final settlement.",6376075,6376075,619662334,EM-6842493,57,,,,,,,,,False,0,,True,,
6376217,6842489,Samuel,Stone,Samuel Stone,,,male,,,samuel.stone@demofaa412b4.com,samuel.stone@demofaa412b4.com,1998-12-20,us,55 Music Concourse Dr,,94118,San Francisco,California,us,,,,191864,420660,663827,1591565,2025-12-08T00:00:00.000Z,2026-09-11T16:21:14.000Z,,False,,,,,6376137,6376137,618997107,EM-6842489,27,,,,,,,,,True,0,,True,,
6376200,6842471,Stephanie,Sullivan,Stephanie Sullivan,,,female,,,stephanie.sullivan@demofaa412b4.com,stephanie.sullivan@demofaa412b4.com,1994-04-16,us,55 Music Concourse Dr,,94118,San Francisco,California,us,,,,191864,420660,663860,1591596,2023-11-06T00:00:00.000Z,2026-09-11T16:20:46.000Z,,False,,,,,6376137,6376137,618606730,EM-6842471,32,,,,,,,,,True,0,,True,,
6376137,6842407,Susan,Stanley,Susan Stanley,,,female,,,susan.stanley@demofaa412b4.com,susan.stanley@demofaa412b4.com,1980-02-27,us,55 Music Concourse Dr,,94118,San Francisco,California,us,,,,191864,420660,663840,1591521,2021-05-02T00:00:00.000Z,2026-09-11T16:21:14.000Z,,False,,,,,6376075,6376075,615758800,EM-6842407,46,,,,,,,,,True,0,,True,,
6376133,6842401,Noah,Norris,Noah Norris,,,male,,,noah.norris@demofaa412b4.com,noah.norris@demofaa412b4.com,2004-06-09,us,11 Wall St,1º,10005,New York,New York,us,,,,191864,420653,663839,1591516,2026-03-03T00:00:00.000Z,2026-09-11T16:20:34.000Z,,False,,,,,6376106,6376106,612854216,EM-6842401,22,,,,,,,,,True,0,,True,,
6376125,6842389,Nora,Nelson,Nora Nelson,,,female,,,nora.nelson@demofaa412b4.com,nora.nelson@demofaa412b4.com,1998-01-19,us,11 Wall St,1º,10005,New York,New York,us,,,,191864,420653,663838,1591513,2024-09-01T00:00:00.000Z,2026-09-11T16:21:14.000Z,,False,,,,,6376106,6376106,617695970,EM-6842389,28,,,,,,,,,True,0,,True,,
6376112,6842383,Natalie,Norton,Natalie Norton,,,female,,,natalie.norton@demofaa412b4.com,natalie.norton@demofaa412b4.com,1987-11-17,us,10 Columbus Circle,,10019,New York,New York,us,,,,191864,420653,663827,1591564,2023-05-22T00:00:00.000Z,2026-09-11T16:20:33.000Z,,False,,,,,6376106,6376106,612620217,EM-6842383,38,,,,,,,,,True,0,,True,,
6376106,6842376,Nicholas,Newton,Nicholas Newton,,,male,,,nicholas.newton@demofaa412b4.com,nicholas.newton@demofaa412b4.com,1984-01-30,us,1000 5th Ave,,10028,New York,New York,us,,,,191864,420653,663860,1591596,2021-03-08T00:00:00.000Z,2026-09-11T16:20:33.000Z,,False,,,,,6376075,6376075,616760867,EM-6842376,42,,,,,,,,,True,0,,True,,
6376102,6842372,Emily,Edwards,Emily Edwards,,,female,,,emily.edwards@demofaa412b4.com,emily.edwards@demofaa412b4.com,1992-05-19,us,30 Rockefeller Plaza,4ª,10112,New York,New York,us,,,,191864,420653,663840,1591520,2022-05-24T00:00:00.000Z,2026-09-11T16:20:33.000Z,,True,2026-08-28,company,Role made redundant after regional restructuring,Position removed by the regional restructuring plan. Notice served in full and severance agreed with the works council.,6376075,6376075,613668536,EM-6842372,34,,,,,,,,,False,0,,True,,
6376096,6842366,Sophie,Simmons,Sophie Simmons,,,female,,,sophie.simmons@demofaa412b4.com,sophie.simmons@demofaa412b4.com,1997-03-23,us,721 Broadway,,10003,New York,New York,us,,,,191864,420686,663839,1591518,2024-11-19T00:00:00.000Z,2026-09-11T16:20:32.000Z,,False,,,,,6376087,6376087,616542824,EM-6842366,29,,,,,,,,,True,0,,True,,
6376091,6842362,Nathan,Nichols,Nathan Nichols,,,male,,,nathan.nichols@demofaa412b4.com,nathan.nichols@demofaa412b4.com,1990-01-29,us,200 Central Park West,,10024,New York,New York,us,,,,191864,420653,663838,1591515,2022-02-14T00:00:00.000Z,2026-09-11T16:20:32.000Z,,False,,,,,6376087,6376087,612637165,EM-6842362,36,,,,,,,,,True,0,,True,,
6376087,6842357,Samantha,Stevens,Samantha Stevens,,,female,,,samantha.stevens@demofaa412b4.com,samantha.stevens@demofaa412b4.com,1985-10-13,us,"285 Fulton St, 102nd Floor",,10007,New York,New York,us,,,,191864,420653,663827,1591566,2021-01-10T00:00:00.000Z,2026-09-11T16:19:57.000Z,,False,,,,,6376075,6376075,616284227,EM-6842357,40,,,,,,,,,True,0,,True,,
6376081,6842353,Charlie,Cooper,Charlie Cooper,,,male,,,charlie.cooper@demofaa412b4.com,charlie.cooper@demofaa412b4.com,1995-01-27,us,"350 5th Ave, 59th Floor",,10118,New York,New York,us,,,,191864,420653,663860,1591596,2025-01-28T00:00:00.000Z,2026-09-11T16:20:31.000Z,,False,,,,,6376087,6376087,616479212,EM-6842353,31,,,,,,,,,True,0,,True,,
6376075,6842348,Simon,Sanders,Simon Sanders,,,male,,,simon.sanders@demofaa412b4.com,simon.sanders@demofaa412b4.com,1978-01-10,us,1000 5th Ave,,10028,New York,New York,us,,,,191864,420653,663840,1591519,2018-04-28T00:00:00.000Z,2026-09-11T16:20:31.000Z,,False,,,,,6375931,6375931,611184003,EM-6842348,48,,,,,,,,,True,0,,True,,
6376070,6842341,Hannah,Harris,Hannah Harris,,,female,,,hannah.harris@demofaa412b4.com,hannah.harris@demofaa412b4.com,2002-06-14,us,"285 Fulton St, 102nd Floor",,10007,New York,New York,us,,,,191864,420653,663839,1591517,2026-01-24T00:00:00.000Z,2026-09-11T16:20:31.000Z,,False,,,,,6375925,6375925,613514149,EM-6842341,24,,,,,,,,,True,0,,True,,
6376063,6842335,Isabel,Ingram,Isabel Ingram,,,female,,,isabel.ingram@demofaa412b4.com,isabel.ingram@demofaa412b4.com,1995-05-18,us,"405 Lexington Ave, 48th Floor",,10174,New York,New York,us,,,,191864,420653,663838,1591514,2024-05-26T00:00:00.000Z,2026-09-11T16:20:30.000Z,,False,,,,,6375925,6375925,619700724,EM-6842335,31,,,,,,,,,True,0,,True,,
6376058,6842329,Ian,Irving,Ian Irving,,,male,,,ian.irving@demofaa412b4.com,ian.irving@demofaa412b4.com,1987-03-07,us,"405 Lexington Ave, 48th Floor",,10174,New York,New York,us,,,,191864,420653,663827,1591565,2021-09-02T00:00:00.000Z,2026-09-11T15:22:49.000Z,,False,,,,,6375925,6375925,619804107,EM-6842329,39,,,,,,,,,True,0,,True,,
